"Designator","Comment","Footprint","Qty","LCSC part number"
"C1,C2","22u (Tantalum)","easyeda2kicad:CASE-A_3216","2","C129272"
"C3,C5","0.1u","easyeda2kicad:C0603","2","C14663"
"C4","10u","easyeda2kicad:C1206","1","C13585"
"J1,J2,R4,R5,R6,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13","-- mixed values --","-- mixed values --","18",""
"LED1,LED2","KT-0603R","easyeda2kicad:LED0603-RD","2","C2286"
"R1,R2","5k1","easyeda2kicad:R0603","2","C23186"
"R3,R7","100","easyeda2kicad:R0603","2","C22775"
"SW1,SW2","TS-1187A-B-A-B","easyeda2kicad:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5","2","C318884"
"U1","AMS1117-3.3","easyeda2kicad:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","1","C6186"
"U2","CH340C_C7464026","easyeda2kicad:SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","1","C7464026"
"U3","ESP32-WROOM-32E(8MB)","easyeda2kicad:WIFI-SMD_ESP32-WROOM-32E","1","C701342"
"U4","MAX98357AETE+T","easyeda2kicad:TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5","1","C910544"
"USBC1","TYPE-C-31-M-12","easyeda2kicad:USB-C_SMD-TYPE-C-31-M-12","1","C165948"
