LCSC,REF,Desc
C165948,TYPE-C-31-M-12,USB-C
C2071422,SIC431AED-T1-GE3,Step Down
C90755,SN74LV4T125PWR,Level shifter 4ch
C970725,CH224K,PowerDelivery
C2071422,SIC431AED-T1-GE3,Buck Gordo
C191884,TPS54202DDCR,Buck pequeño
C427602,ME6217C33M5G,Regulador 3.3
C2827654,USBLC6-2SC6,Proteccion del USB
C6186,AMS1117-3.3,REgulador 3.3
C20611523,DS18B20,TO92
C22360666,DS18B20U,msop8
C2913198,ESP32-S3-WROOM-1-N8,ESP32
C2846758,TSA002A3526B,Boton
R0805,,
C0805,,
C84256,LED0805-R-RD,
C965815,LED0805-RD_GREEN,
C69810,WJ124-3.81-6P,conector 6
C69809,WJ124-3.81-4P,conector 4
